user_id,user_lat,user_lng,interests,time_preference,location_preference,budget_type
1,37.44680559213273,126.86239780813447,"맛집, 취미활동, 스포츠, 소셜",evening,indoor,value
2,37.4002336297523,127.19688462371649,"스포츠, 카페, 소셜, 문화예술",morning,indoor,medium
3,37.487643394560564,126.94654473731748,"소셜, 문화예술",afternoon,indoor,medium
4,37.45115723710619,126.8260206371941,"맛집, 소셜, 스터디, 취미활동",night,outdoor,medium
5,37.436611470453435,126.99807076404451,"소셜, 문화예술, 카페",evening,indoor,value
6,37.69087538832937,127.11005312934445,"카페, 스포츠, 스터디",afternoon,indoor,high
7,37.65336015460345,127.09892804405496,"스터디, 카페, 맛집, 스포츠",evening,outdoor,value
8,37.527020444211914,126.95795260727023,"맛집, 카페",night,indoor,high
9,37.50753971856328,126.84634762381005,"문화예술, 맛집",evening,outdoor,value
10,37.56837302775431,126.95317074990152,"문화예술, 스포츠",evening,outdoor,medium
11,37.433267246243545,126.9757346007463,"맛집, 문화예술, 스터디",evening,indoor,medium
12,37.5619523273905,126.88122448989391,"맛집, 스포츠",morning,indoor,value
13,37.43164827794908,126.98261382819317,"카페, 소셜, 스터디",night,indoor,high
14,37.48163967481539,127.05907604821654,"취미활동, 스터디, 소셜, 카페",morning,outdoor,high
15,37.4359596102001,126.93504606856145,"문화예술, 소셜, 스터디, 맛집",evening,indoor,value
16,37.54917455176771,126.92035132392671,"카페, 스터디",morning,outdoor,value
17,37.47186856720009,126.85795794883649,"소셜, 카페, 스포츠",night,indoor,medium
18,37.51033493981578,127.05292233223743,"소셜, 맛집, 스터디, 스포츠",afternoon,indoor,high
19,37.57726788295648,127.07102574473691,"취미활동, 스터디",evening,outdoor,high
20,37.6513130317722,127.0702760468157,"스터디, 맛집, 카페, 소셜",morning,indoor,high
21,37.56656024347984,127.0118602313424,"스포츠, 취미활동, 소셜",afternoon,outdoor,premium
22,37.617786703661075,127.15884410398104,"맛집, 문화예술",night,indoor,high
23,37.43044146285981,127.06540070764322,"소셜, 스터디, 카페, 맛집",morning,indoor,value
